This is Ipopt version 3.14.17, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:      810
Number of nonzeros in inequality constraint Jacobian.:      345
Number of nonzeros in Lagrangian Hessian.............:     1221

Total number of variables............................:      323
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      290
                     variables with only upper bounds:        0
Total number of equality constraints.................:      197
Total number of inequality constraints...............:      134
        inequality constraints with only lower bounds:       92
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:       42

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  7.7999922e-01 2.44e+01 1.00e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  8.9073378e-01 2.40e+01 1.05e+00  -1.0 1.23e+00    -  1.77e-02 1.58e-02f  1
   2  9.3389423e-01 2.39e+01 1.32e+00  -1.0 7.64e+00    -  6.80e-03 6.25e-03f  1
   3  1.0175363e+00 2.36e+01 2.08e+00  -1.0 8.09e+00    -  8.97e-03 1.22e-02f  1
   4  1.1057349e+00 2.33e+01 2.60e+00  -1.0 1.08e+01    -  1.20e-02 1.30e-02f  1
   5  1.2034857e+00 2.30e+01 5.00e+01  -1.0 1.07e+01    -  3.12e-02 1.46e-02f  1
   6  1.2430355e+00 2.28e+01 1.20e+03  -1.0 9.94e+00    -  5.83e-02 6.00e-03h  1
   7  1.2435647e+00 2.28e+01 4.43e+05  -1.0 7.39e+00    -  2.85e-02 8.06e-05h  1
   8  1.2456958e+00 2.28e+01 1.52e+05  -1.0 1.67e+02    -  1.07e-04 3.17e-04h  1
   9r 1.2456958e+00 2.28e+01 1.00e+03   1.2 0.00e+00   2.0 0.00e+00 4.60e-07R  5
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10r 1.6308150e+00 1.77e+01 9.99e+02   1.2 1.19e+04    -  8.74e-04 3.05e-04f  1
  11  1.6309075e+00 1.77e+01 6.69e+03  -1.0 2.67e+00    -  7.87e-02 1.50e-05h  1
  12  1.6310119e+00 1.77e+01 8.77e+04  -1.0 2.72e+02    -  2.18e-04 1.65e-05h  1
  13  1.6317128e+00 1.77e+01 8.52e+04  -1.0 6.19e+02    -  1.05e-04 1.10e-04h  1
  14  1.6318367e+00 1.77e+01 1.34e+06  -1.0 3.13e+01    -  2.18e-03 1.94e-05h  1
  15  1.6391713e+00 1.77e+01 2.34e+07  -1.0 3.47e+00    -  3.87e-02 1.12e-03h  1
  16  1.6774166e+00 1.77e+01 2.39e+07  -1.0 5.10e+00    -  4.26e-03 3.35e-03h  1
  17  3.8758592e+00 1.76e+01 2.21e+07  -1.0 7.72e+02    -  5.04e-05 2.82e-03h  1
  18  4.1900347e+00 1.76e+01 2.25e+07  -1.0 4.75e+03    -  7.39e-04 6.60e-05h  1
  19  6.9423168e+00 1.76e+01 2.49e+07  -1.0 4.75e+03    -  4.01e-03 5.78e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.5241587e+01 1.76e+01 2.38e+07  -1.0 4.75e+03    -  4.35e-05 1.55e-03h  1
  21  1.6280807e+01 1.76e+01 2.38e+07  -1.0 7.82e+03    -  1.38e-04 8.26e-05h  1
  22  1.6901569e+01 1.76e+01 2.50e+07  -1.0 7.84e+03    -  1.65e-03 4.92e-05h  1
  23  2.1863366e+01 1.75e+01 2.47e+07  -1.0 7.83e+03    -  7.26e-05 3.94e-04h  1
  24  2.2081555e+01 1.75e+01 2.53e+07  -1.0 7.83e+03    -  7.72e-04 1.73e-05h  1
  25  4.0434516e+01 1.75e+01 2.77e+07  -1.0 7.84e+03    -  5.01e-03 1.46e-03h  1
  26  1.0796646e+02 1.74e+01 2.56e+07  -1.0 7.82e+03    -  2.43e-03 5.36e-03h  1
  27  1.0889911e+02 1.74e+01 2.92e+07  -1.0 7.78e+03    -  4.95e-03 7.42e-05h  1
  28  1.1959288e+02 1.74e+01 3.16e+07  -1.0 7.78e+03    -  4.02e-03 8.50e-04h  1
  29  1.2802643e+02 1.74e+01 3.11e+07  -1.0 7.77e+03    -  4.42e-05 6.39e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.5742322e+02 1.74e+01 3.00e+07  -1.0 7.77e+03    -  7.41e-05 1.50e-03h  1
  31  1.7323620e+02 1.74e+01 3.30e+07  -1.0 7.76e+03    -  4.82e-03 8.06e-04h  1
  32  1.7346796e+02 1.74e+01 3.30e+07  -1.0 7.75e+03    -  5.38e-05 1.14e-05h  1
  33  1.7398762e+02 1.74e+01 3.30e+07  -1.0 7.75e+03    -  8.63e-06 1.98e-05h  1
  34  1.9682064e+02 1.73e+01 3.31e+07  -1.0 7.75e+03    -  9.59e-04 8.56e-04h  1
  35  2.2178753e+02 1.73e+01 3.25e+07  -1.0 7.74e+03    -  1.80e-04 9.27e-04h  1
  36  2.8317609e+02 1.73e+01 3.10e+07  -1.0 7.74e+03    -  9.23e-05 1.96e-03h  1
  37  2.8548644e+02 1.73e+01 3.39e+07  -1.0 7.72e+03    -  3.87e-03 7.36e-05h  1
  38  3.1091777e+02 1.73e+01 3.59e+07  -1.0 7.72e+03    -  3.56e-03 8.09e-04h  1
  39  3.7167972e+02 1.72e+01 3.45e+07  -1.0 7.72e+03    -  4.90e-05 1.90e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  5.1343209e+02 1.72e+01 3.20e+07  -1.0 1.13e+04    -  1.13e-04 3.32e-03h  1
  41  5.1484417e+02 1.72e+01 3.28e+07  -1.0 1.14e+04    -  1.07e-03 3.29e-05h  1
  42r 5.1484417e+02 1.72e+01 1.00e+03   1.1 0.00e+00    -  0.00e+00 3.39e-07R  4
  43r 5.1808466e+02 1.60e+01 1.01e+03   1.1 1.18e+04    -  2.40e-04 2.07e-04f  1
  44r 5.2007303e+02 1.52e+01 1.09e+03   1.1 9.20e+03    -  5.78e-04 1.61e-04f  1
  45  5.2007101e+02 1.52e+01 2.78e+02  -1.0 4.11e+01    -  3.35e-03 1.55e-05h  1
  46r 5.2007101e+02 1.52e+01 9.99e+02   1.1 0.00e+00    -  0.00e+00 3.44e-07R  4
  47r 5.2012783e+02 1.49e+01 9.99e+02   1.1 4.47e+03    -  4.17e-05 4.58e-05f  1
  48r 5.2027345e+02 1.43e+01 9.99e+02   1.1 4.60e+03    -  3.32e-05 1.24e-04f  1
  49r 5.2030867e+02 1.41e+01 9.99e+02   1.1 3.80e+03    -  2.10e-04 3.39e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r 5.2038920e+02 1.40e+01 9.99e+02   1.1 3.46e+03    -  3.70e-04 9.52e-05f  1
  51r 5.2059670e+02 1.40e+01 9.98e+02   1.1 2.84e+03    -  1.42e-04 2.69e-04f  1
  52r 5.2104950e+02 1.40e+01 9.98e+02   1.1 3.36e+03    -  6.42e-04 5.68e-04f  1
  53r 5.2168379e+02 1.21e+01 9.97e+02   1.1 1.79e+03    -  8.06e-06 8.73e-04f  1
  54  5.2203770e+02 1.21e+01 9.04e+02  -1.0 8.16e+02    -  1.77e-03 4.14e-04h  1
  55r 5.2203770e+02 1.21e+01 1.00e+03   1.0 0.00e+00    -  0.00e+00 4.12e-07R  5
  56r 5.2280020e+02 6.88e+00 1.08e+03   1.0 5.52e+03    -  2.51e-04 1.51e-03f  1
  57  5.2126554e+02 6.86e+00 1.49e+00  -1.0 1.64e+02    -  3.64e-03 3.00e-03f  1
  58  5.2095692e+02 6.86e+00 2.62e+02  -1.0 1.65e+02    -  3.45e-02 6.13e-04h  1
  59  5.2114024e+02 6.85e+00 6.01e+03  -1.0 1.07e+03    -  5.47e-03 2.81e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  5.2760927e+02 6.84e+00 3.25e+03  -1.0 4.51e+03    -  8.95e-04 1.57e-03h  1
  61  5.2965658e+02 6.84e+00 6.34e+03  -1.0 3.34e+03    -  1.85e-03 6.92e-04h  1
  62  5.3342147e+02 6.83e+00 1.81e+04  -1.0 7.02e+03    -  2.89e-03 5.64e-04h  1
  63  5.3684676e+02 6.83e+00 6.66e+04  -1.0 7.52e+03    -  1.24e-02 4.69e-04h  1
  64  5.3651752e+02 6.83e+00 1.85e+06  -1.0 1.84e+03    -  3.05e-02 1.52e-04h  1
  65  4.9281846e+02 6.71e+00 1.51e+06  -1.0 2.18e+03    -  1.25e-02 1.75e-02f  1
  66  4.9229507e+02 6.71e+00 9.52e+06  -1.0 1.89e+03    -  1.60e-01 2.45e-04f  1
  67  4.9201912e+02 6.70e+00 9.51e+06  -1.0 9.96e+02    -  3.51e-04 3.43e-04h  1
  68  4.8955292e+02 6.69e+00 9.30e+06  -1.0 1.33e+03    -  7.62e-06 1.87e-03f  1
  69  4.6105463e+02 6.58e+00 8.54e+06  -1.0 1.59e+03    -  1.11e-03 1.64e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  4.6039900e+02 6.58e+00 9.62e+06  -1.0 1.24e+03    -  3.53e-02 4.96e-04f  1
  71  4.3243301e+02 6.32e+00 8.12e+06  -1.0 9.11e+02    -  2.85e-04 3.78e-02f  1
  72  4.7233921e+02 6.17e+00 7.65e+06  -1.0 1.62e+03    -  5.54e-03 2.38e-02h  1
  73  4.7315982e+02 6.17e+00 7.64e+06  -1.0 1.58e+03    -  3.83e-04 4.58e-04h  1
  74  4.7437807e+02 6.17e+00 7.67e+06  -1.0 1.58e+03    -  6.74e-03 6.66e-04h  1
  75  4.8689328e+02 6.13e+00 7.60e+06  -1.0 1.58e+03    -  1.57e-03 6.31e-03h  1
  76  4.9162135e+02 6.11e+00 7.60e+06  -1.0 1.57e+03    -  8.01e-03 2.04e-03h  1
  77  4.9356968e+02 6.11e+00 7.61e+06  -1.0 1.56e+03    -  8.56e-03 7.90e-04h  1
  78  4.9900029e+02 6.09e+00 7.60e+06  -1.0 1.56e+03    -  2.09e-02 2.30e-03h  1
  79  5.1377490e+02 6.06e+00 7.56e+06  -1.0 1.56e+03    -  2.53e-04 5.45e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  5.3217784e+02 6.03e+00 7.53e+06  -1.0 1.83e+03    -  2.31e-03 4.28e-03h  1
  81  5.4367466e+02 6.02e+00 7.50e+06  -1.0 1.71e+03    -  6.05e-03 2.79e-03h  1
  82  5.4990332e+02 6.01e+00 7.47e+06  -1.0 1.67e+03    -  8.34e-03 1.52e-03h  1
  83  8.0170229e+02 5.69e+00 7.22e+06  -1.0 1.68e+03    -  2.38e-04 5.24e-02h  1
  84  8.5497232e+02 5.64e+00 7.16e+06  -1.0 1.74e+03    -  8.73e-03 9.84e-03h  1
  85  8.8088216e+02 5.61e+00 7.14e+06  -1.0 2.07e+03    -  3.85e-03 4.37e-03h  1
  86  8.8335544e+02 5.61e+00 7.09e+06  -1.0 2.09e+03    -  3.43e-03 4.14e-04h  1
  87  9.6207328e+02 5.53e+00 7.19e+06  -1.0 2.14e+03    -  3.64e-04 1.30e-02h  1
  88  9.6632805e+02 5.53e+00 7.15e+06  -1.0 2.17e+03    -  2.59e-03 6.86e-04h  1
  89  9.7064355e+02 5.53e+00 7.15e+06  -1.0 2.17e+03    -  5.30e-04 6.86e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  1.0661870e+03 5.44e+00 7.28e+06  -1.0 2.17e+03    -  8.64e-04 1.51e-02h  1
  91  1.0672514e+03 5.44e+00 7.15e+06  -1.0 2.12e+03    -  7.34e-03 1.57e-04h  1
  92  1.0723190e+03 5.44e+00 7.07e+06  -1.0 1.39e+03    -  4.81e-03 8.28e-04h  1
  93  1.1232648e+03 5.39e+00 7.11e+06  -1.0 1.39e+03    -  3.15e-03 8.60e-03h  1
  94  1.2509680e+03 5.31e+00 7.27e+06  -1.0 2.39e+03    -  6.87e-04 1.56e-02h  1
  95  1.2522589e+03 5.31e+00 6.79e+06  -1.0 2.50e+03    -  2.51e-02 1.56e-04h  1
  96  1.3424967e+03 5.25e+00 6.92e+06  -1.0 2.66e+03    -  1.07e-04 1.08e-02h  1
  97  1.3438639e+03 5.25e+00 6.32e+06  -1.0 2.66e+03    -  3.12e-02 1.64e-04h  1
  98  1.3610512e+03 5.24e+00 6.32e+06  -1.0 2.62e+03    -  1.17e-03 2.08e-03h  1
  99  1.3614051e+03 5.24e+00 6.32e+06  -1.0 1.74e+03    -  1.87e-05 4.72e-05h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  1.3619586e+03 5.24e+00 4.02e+06  -1.0 1.34e+03    -  4.71e-02 8.09e-05h  1
 101  1.4018316e+03 5.21e+00 4.32e+06  -1.0 1.34e+03    -  1.43e-04 5.95e-03h  1
 102  1.4026634e+03 5.20e+00 4.12e+06  -1.0 1.33e+03    -  3.83e-03 1.24e-04h  1
 103  1.4162551e+03 5.19e+00 4.22e+06  -1.0 1.33e+03    -  2.09e-05 2.01e-03h  1
 104  1.4699488e+03 5.15e+00 4.57e+06  -1.0 1.33e+03    -  1.62e-04 8.06e-03h  1
 105  1.4705863e+03 5.15e+00 4.41e+06  -1.0 1.32e+03    -  3.24e-03 9.60e-05h  1
 106  1.5178037e+03 5.12e+00 4.72e+06  -1.0 1.32e+03    -  3.52e-04 7.10e-03h  1
 107  1.5287457e+03 5.11e+00 4.63e+06  -1.0 1.31e+03    -  3.18e-03 1.65e-03h  1
 108  1.5297351e+03 5.11e+00 4.63e+06  -1.0 1.31e+03    -  2.34e-04 1.48e-04h  1
 109  1.5403117e+03 5.10e+00 4.43e+06  -1.0 1.31e+03    -  5.26e-03 1.58e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  1.5568987e+03 5.09e+00 4.50e+06  -1.0 1.30e+03    -  4.42e-04 2.13e-03h  1
 111  1.6095082e+03 5.08e+00 4.52e+06  -1.0 4.52e+04    -  6.71e-05 1.02e-03h  1
 112  1.6150031e+03 5.08e+00 4.13e+06  -1.0 4.62e+04    -  1.99e-02 1.04e-04h  1
 113  2.5567165e+03 4.99e+00 4.40e+06  -1.0 4.51e+04    -  2.03e-04 1.80e-02h  1
 114  2.5670785e+03 4.99e+00 4.37e+06  -1.0 4.22e+04    -  1.63e-03 1.79e-04h  1
 115r 2.5670785e+03 4.99e+00 1.00e+03   0.7 0.00e+00    -  0.00e+00 4.99e-07R  5
 116r 2.5891942e+03 1.17e+00 1.01e+03   0.7 1.25e+04    -  5.66e-04 1.31e-03f  1
 117  2.5864627e+03 1.17e+00 3.47e+01  -1.0 8.85e+02    -  3.22e-05 1.13e-03f  1
 118  2.4252441e+03 1.10e+00 2.28e+02  -1.0 8.88e+02    -  1.09e-03 6.30e-02f  1
 119  2.4252442e+03 1.02e+00 2.16e+02  -1.0 4.34e-01   1.5 1.13e-02 6.80e-02f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  2.4251808e+03 8.62e-01 1.86e+02  -1.0 9.58e-01   1.0 1.05e-01 1.55e-01f  1
 121  2.4251586e+03 8.54e-01 1.72e+02  -1.0 2.13e+00   0.6 1.55e-01 9.38e-03h  1
 122  1.7392087e+03 6.70e-01 1.17e+02  -1.0 1.11e+03    -  4.88e-01 2.12e-01f  1
 123  1.7304587e+03 6.67e-01 1.16e+02  -1.0 6.84e+02    -  9.60e-03 4.40e-03f  1
 124  5.1490766e+02 2.43e-01 4.02e+01  -1.0 6.80e+02    -  7.14e-01 6.16e-01f  1
 125  1.9036874e+01 2.93e-02 2.84e+01  -1.0 1.81e+02    -  5.20e-01 9.42e-01f  1
 126  1.3306674e+01 1.77e-02 1.90e+02  -1.0 3.93e+00    -  6.80e-01 5.02e-01f  1
 127  8.3192826e+00 5.54e-03 1.37e+03  -1.0 1.90e+00    -  1.87e-01 9.04e-01h  1
 128  8.0667310e+00 3.40e-03 2.11e+03  -1.0 2.19e-01    -  9.90e-01 5.29e-01h  1
 129  7.9032154e+00 4.72e-04 4.91e+02  -1.0 9.29e-02    -  9.90e-01 8.12e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  7.9108832e+00 1.82e-04 7.03e+02  -1.0 3.32e-02    -  9.91e-01 7.65e-01h  1
 131  7.9123236e+00 1.75e-04 5.08e+03  -1.0 3.67e-02    -  1.00e+00 1.55e-02f  6
 132  7.9982574e+00 1.34e-04 1.99e+03  -1.0 4.12e-02    -  1.00e+00 6.50e-01h  1
 133  8.2015132e+00 9.77e-05 6.48e+03  -1.0 1.09e-01    -  1.00e+00 6.46e-01h  1
 134  8.2167259e+00 9.60e-05 7.47e+03  -1.0 1.49e+00    -  1.00e+00 7.81e-03f  8
 135  1.0409642e+01 3.87e-05 2.84e+01  -1.0 1.67e+00    -  1.00e+00 1.00e+00h  1
 136  1.0968709e+01 3.49e-05 1.54e+03  -1.0 4.82e-01    -  1.00e+00 7.61e-01h  1
 137  1.1016962e+01 3.36e-05 5.98e+03  -1.0 1.37e+00    -  1.00e+00 3.12e-02f  6
 138  1.2187564e+01 3.04e-05 1.70e+01  -1.0 8.53e-01    -  1.00e+00 1.00e+00h  1
 139  6.9542339e+00 3.11e-05 1.64e+03  -1.7 1.75e-01    -  1.00e+00 7.99e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  6.6348570e+00 3.11e-05 6.32e+03  -1.7 9.65e-02    -  1.00e+00 2.50e-01f  3
 141  5.6776889e+00 3.11e-05 1.89e+00  -1.7 8.05e-02    -  1.00e+00 1.00e+00h  1
 142  4.4942129e+00 3.12e-05 2.32e+03  -2.5 2.33e-02    -  1.00e+00 8.28e-01f  1
 143  4.3775415e+00 3.12e-05 6.76e+03  -2.5 4.05e-02    -  1.00e+00 5.00e-01f  2
 144  4.2824000e+00 3.11e-05 6.63e-01  -2.5 3.58e-02    -  1.00e+00 1.00e+00h  1
 145  4.2216362e+00 3.07e-05 1.00e+04  -3.8 5.85e-02    -  3.11e-01 6.74e-01f  1
 146  8.3598223e+00 2.35e-05 2.55e+04  -3.8 3.73e+00    -  4.74e-02 8.85e-01h  1
 147  1.2894927e+01 1.75e-05 2.67e+04  -3.8 4.74e+00    -  3.16e-01 1.00e+00h  1
 148  1.4249098e+01 1.56e-05 3.19e+04  -3.8 3.83e+00    -  1.82e-01 1.00e+00h  1
 149  1.6149467e+01 1.42e-05 1.78e+04  -3.8 4.46e+00    -  5.20e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.6208686e+01 9.33e-06 3.60e+03  -3.8 3.02e+00    -  8.28e-01 1.00e+00h  1
 151  1.5878096e+01 9.25e-06 6.11e+03  -3.8 1.71e+00    -  4.89e-01 1.00e+00f  1
 152  1.6490222e+01 7.42e-06 3.92e+00  -3.8 1.47e+00    -  1.00e+00 1.00e+00h  1
 153  1.5905096e+01 7.40e-06 1.11e+03  -3.8 7.43e-01    -  8.34e-01 1.00e+00f  1
 154  1.6106194e+01 7.38e-06 3.12e+03  -3.8 1.62e-01    -  5.99e-01 1.00e+00h  1
 155  1.6967882e+01 7.36e-06 9.44e+03  -3.8 5.37e-01    -  3.42e-02 1.00e+00h  1
 156  1.7813402e+01 7.35e-06 1.33e+04  -3.8 1.01e+00    -  1.70e-01 1.00e+00h  1
 157  1.8800649e+01 7.34e-06 1.73e+04  -3.8 1.29e+00    -  1.33e-01 1.00e+00h  1
 158  1.9371031e+01 7.33e-06 1.68e+04  -3.8 1.40e+00    -  2.98e-01 1.00e+00h  1
 159  1.9970404e+01 7.31e-06 1.95e+04  -3.8 1.63e+00    -  1.68e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  2.1041079e+01 7.28e-06 2.13e+04  -3.8 2.19e+00    -  1.84e-01 1.00e+00h  1
 161  2.0949290e+01 7.19e-06 1.68e+04  -3.8 1.69e+00    -  3.96e-01 1.00e+00f  1
 162  2.3197367e+01 6.33e-06 1.79e+04  -3.8 3.28e+00    -  1.32e-01 1.00e+00h  1
 163  2.3150389e+01 6.31e-06 2.17e+04  -3.8 2.37e+00    -  7.85e-02 1.00e+00f  1
 164  2.2546708e+01 6.29e-06 3.30e+02  -3.8 1.32e+00    -  9.88e-01 1.00e+00f  1
 165  2.2554350e+01 6.28e-06 1.59e+03  -3.8 8.57e-01    -  5.57e-01 2.50e-01h  3
 166  2.2862517e+01 6.26e-06 3.68e+02  -3.8 8.83e-01    -  9.09e-01 1.00e+00h  1
 167  2.2481424e+01 6.24e-06 6.47e+02  -3.8 5.65e-01    -  8.92e-01 1.00e+00f  1
 168  2.2826411e+01 6.22e-06 9.29e-02  -3.8 4.01e-01    -  1.00e+00 1.00e+00h  1
 169  2.2871932e+01 6.18e-06 5.25e+03  -5.7 2.06e-01    -  5.77e-01 8.90e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  2.2957191e+01 6.15e-06 6.36e+03  -5.7 5.54e-02    -  7.10e-01 1.00e+00h  1
 171  2.3557949e+01 6.12e-06 1.57e+04  -5.7 5.70e-01    -  3.15e-01 1.00e+00h  1
 172  2.3825657e+01 6.10e-06 2.69e+04  -5.7 4.05e-01    -  1.66e-01 1.00e+00h  1
 173  2.4160920e+01 6.09e-06 1.48e+03  -5.7 5.16e-01    -  9.66e-01 1.00e+00h  1
 174  2.3866913e+01 6.08e-06 2.33e-01  -5.7 3.18e-01    -  1.00e+00 1.00e+00f  1
 175  2.3888081e+01 6.07e-06 2.21e-01  -5.7 1.96e-02    -  1.00e+00 1.00e+00h  1
 176  2.3910045e+01 6.06e-06 1.08e+04  -5.7 1.88e-02    -  3.46e-01 1.00e+00h  1
 177  2.4163322e+01 6.06e-06 1.96e-01  -5.7 2.36e-01    -  1.00e+00 1.00e+00h  1
 178  2.4067095e+01 6.06e-06 1.89e-01  -5.7 1.15e-01    -  1.00e+00 1.00e+00f  1
 179  2.4086735e+01 6.05e-06 6.17e+00  -5.7 1.75e-02    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  2.4116079e+01 6.05e-06 1.74e-01  -5.7 1.71e-02    -  1.00e+00 1.00e+00h  1
 181  2.4135271e+01 6.05e-06 1.68e-01  -5.7 1.68e-02    -  1.00e+00 1.00e+00h  1
 182  2.4250574e+01 6.04e-06 1.64e+04  -5.7 9.54e-02    -  1.11e-03 1.00e+00h  1
 183  2.7236338e+01 5.71e-06 2.37e+04  -5.7 2.95e+00    -  2.57e-01 1.00e+00h  1
 184  3.1612910e+01 2.62e-06 2.68e+00  -5.7 5.87e+00    -  1.00e+00 1.00e+00h  1
 185  2.8064631e+01 2.59e-06 2.09e-01  -5.7 3.57e+00    -  1.00e+00 1.00e+00f  1
 186  2.8063358e+01 2.56e-06 2.73e+03  -5.7 2.60e-02    -  6.08e-01 1.00e+00h  1
 187  2.8367938e+01 2.54e-06 2.44e+03  -5.7 2.25e-01    -  7.46e-01 1.00e+00h  1
 188  2.8416442e+01 2.51e-06 6.37e+03  -5.7 1.47e-01    -  3.11e-01 1.00e+00h  1
 189  2.8466334e+01 2.48e-06 7.03e+02  -5.7 1.25e-01    -  9.46e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
