This is Ipopt version 3.14.17, running with linear solver MUMPS 5.7.3.

Number of nonzeros in equality constraint Jacobian...:      850
Number of nonzeros in inequality constraint Jacobian.:      417
Number of nonzeros in Lagrangian Hessian.............:     1309

Total number of variables............................:      355
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      314
                     variables with only upper bounds:        0
Total number of equality constraints.................:      205
Total number of inequality constraints...............:      158
        inequality constraints with only lower bounds:      116
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:       42

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.0199990e+00 2.44e+01 1.00e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.1648901e+00 2.40e+01 1.05e+00  -1.0 1.20e+00    -  1.77e-02 1.58e-02f  1
   2  1.2214400e+00 2.39e+01 1.31e+00  -1.0 8.19e+00    -  6.81e-03 6.26e-03f  1
   3  1.3307553e+00 2.36e+01 2.06e+00  -1.0 8.09e+00    -  8.98e-03 1.22e-02f  1
   4  1.4460503e+00 2.33e+01 2.78e+00  -1.0 1.08e+01    -  1.18e-02 1.30e-02f  1
   5  1.5732323e+00 2.30e+01 5.04e+01  -1.0 1.07e+01    -  3.13e-02 1.45e-02f  1
   6  1.6254721e+00 2.28e+01 1.21e+03  -1.0 9.95e+00    -  5.91e-02 6.06e-03h  1
   7  1.6261693e+00 2.28e+01 4.46e+05  -1.0 7.41e+00    -  2.88e-02 8.13e-05h  1
   8  1.6289558e+00 2.28e+01 1.56e+05  -1.0 1.65e+02    -  1.10e-04 3.19e-04h  1
   9r 1.6289558e+00 2.28e+01 1.00e+03   1.2 0.00e+00   2.0 0.00e+00 2.61e-07R  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10r 2.1329572e+00 1.77e+01 9.99e+02   1.2 1.17e+04    -  8.93e-04 3.06e-04f  1
  11  2.1330782e+00 1.77e+01 6.68e+03  -1.0 2.67e+00    -  7.86e-02 1.50e-05h  1
  12  2.1332127e+00 1.77e+01 8.79e+04  -1.0 2.72e+02    -  2.16e-04 1.64e-05h  1
  13  2.1341093e+00 1.77e+01 8.50e+04  -1.0 6.29e+02    -  1.03e-04 1.09e-04h  1
  14  2.1342688e+00 1.77e+01 1.31e+06  -1.0 3.16e+01    -  2.10e-03 1.93e-05h  1
  15  2.1437178e+00 1.77e+01 2.36e+07  -1.0 3.49e+00    -  3.87e-02 1.12e-03h  1
  16  2.1869133e+00 1.77e+01 2.42e+07  -1.0 5.01e+00    -  4.34e-03 3.27e-03h  1
  17  4.3854331e+00 1.76e+01 2.23e+07  -1.0 7.48e+02    -  5.10e-05 2.91e-03h  1
  18  4.7036725e+00 1.76e+01 2.28e+07  -1.0 4.75e+03    -  7.28e-04 6.68e-05h  1
  19  7.3698984e+00 1.76e+01 2.51e+07  -1.0 4.75e+03    -  4.03e-03 5.59e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.5511635e+01 1.76e+01 2.41e+07  -1.0 4.75e+03    -  4.36e-05 1.53e-03h  1
  21  1.6495069e+01 1.76e+01 2.41e+07  -1.0 7.82e+03    -  1.34e-04 7.82e-05h  1
  22  1.7139896e+01 1.76e+01 2.52e+07  -1.0 7.84e+03    -  1.59e-03 5.11e-05h  1
  23  2.1455845e+01 1.75e+01 2.50e+07  -1.0 7.83e+03    -  6.35e-05 3.43e-04h  1
  24  2.1680370e+01 1.75e+01 2.55e+07  -1.0 7.83e+03    -  6.99e-04 1.78e-05h  1
  25  3.3471173e+01 1.75e+01 2.82e+07  -1.0 7.84e+03    -  4.76e-03 9.35e-04h  1
  26  6.5939086e+01 1.75e+01 2.76e+07  -1.0 7.83e+03    -  1.76e-03 2.58e-03h  1
  27  1.0919107e+02 1.74e+01 2.74e+07  -1.0 7.81e+03    -  3.30e-03 3.44e-03h  1
  28  1.1004913e+02 1.74e+01 3.53e+07  -1.0 7.78e+03    -  1.06e-02 6.82e-05h  1
  29  1.2361762e+02 1.74e+01 3.46e+07  -1.0 7.78e+03    -  1.35e-04 1.06e-03h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.3121600e+02 1.74e+01 3.43e+07  -1.0 7.77e+03    -  3.17e-05 3.93e-04h  1
  31  1.6023078e+02 1.74e+01 3.70e+07  -1.0 7.77e+03    -  5.15e-03 1.48e-03h  1
  32  1.7467264e+02 1.74e+01 3.65e+07  -1.0 7.76e+03    -  5.65e-05 7.15e-04h  1
  33r 1.7467264e+02 1.74e+01 1.00e+03   1.1 0.00e+00    -  0.00e+00 2.68e-07R  6
  34r 1.7595180e+02 1.60e+01 1.02e+03   1.1 5.27e+03    -  4.21e-05 2.23e-04f  1
  35r 1.7646624e+02 1.56e+01 1.03e+03   1.1 4.49e+03    -  8.72e-05 1.01e-04f  1
  36r 1.7758876e+02 1.48e+01 1.01e+03   1.1 4.05e+03    -  5.10e-04 2.36e-04f  1
  37  1.7758696e+02 1.48e+01 6.17e+02  -1.0 3.81e+01    -  1.18e-02 2.48e-05h  1
  38r 1.7758696e+02 1.48e+01 9.99e+02   1.1 0.00e+00    -  0.00e+00 2.86e-07R  5
  39r 1.7770215e+02 1.45e+01 9.99e+02   1.1 3.97e+03    -  6.82e-05 9.38e-05f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40r 1.7795377e+02 1.40e+01 9.99e+02   1.1 4.31e+03    -  5.66e-05 2.30e-04f  1
  41r 1.7803078e+02 1.40e+01 9.99e+02   1.1 3.50e+03    -  7.41e-04 7.02e-05f  1
  42r 1.7889309e+02 1.40e+01 9.98e+02   1.1 2.51e+03    -  3.47e-04 8.12e-04f  1
  43r 1.7979507e+02 1.40e+01 9.97e+02   1.1 1.59e+03    -  1.24e-03 8.79e-04f  1
  44r 1.8357420e+02 1.39e+01 1.35e+03   1.1 8.35e+02    -  1.55e-05 3.91e-03f  1
  45r 1.8478702e+02 1.36e+01 1.54e+03   1.1 2.37e+03    -  5.02e-04 1.40e-03f  1
  46r 1.8550166e+02 1.20e+01 1.54e+03   1.1 1.19e+03   0.0 4.96e-04 9.38e-04f  1
  47  1.8582839e+02 1.20e+01 1.07e+03  -1.0 5.82e+02    -  1.26e-03 5.00e-04h  1
  48r 1.8582839e+02 1.20e+01 1.00e+03   1.0 0.00e+00    -  0.00e+00 2.74e-07R  6
  49r 1.8691615e+02 8.83e-01 1.08e+03   1.0 5.24e+03    -  2.76e-04 1.58e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
